SMILES,LIBRARY,ANTIBIOTIC_ACTIVITY
CO/N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CN1C=CC(=N)N1CCO)c1csc(n1)N,BROAD,0.505656882
ClC1=C(Cl)C(=O)NNC1=O,BROAD,0.331480026
NC(=S)NN=CCN1C=C(C(=O)NC1=O)[N+](=O)[O-],BROAD,0.248971955
Nc1nnc(s1)-c1ccc(o1)[N+](=O)[O-],BROAD,0.436672044
CC(=O)N[C@H](c1ccc(c(c1)F)F)c1nc(cs1)-c1cccc(c1)C(=O)O,BROAD,0.267204361
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1ccccc1)C2=O)C(=O)O,BROAD,0.505653851
CC[C@@H](C)[C@@H](O)[C@H](C)C(=O)[C@H](C)/C=C(\C)C[C@H](C)[C@H]1OC(=O)[C@H]1CC,BROAD,0.237631806
FC(F)(F)c1ccc(cc1)NC(=O)N1C[C@@H]2O[C@@H](CC[C@@H]21)CNC(=O)C1CCOCC1,BROAD,0.292377051
FC(F)(F)c1ccc(cc1)NC(=O)N1C[C@H]2O[C@@H](CC[C@H]21)CNC(=O)Cc1cccnc1,BROAD,0.208497095
CCN(C)[C@H]1CN(Cc2cn(nn2)Cc2ccc(cc2)C(F)(F)F)S(=O)(=O)C1,BROAD,0.205924858
CCCN(C)[C@H]1CN(Cc2cn(nn2)Cc2ccc(cc2)C(F)(F)F)S(=O)(=O)C1,BROAD,0.207825787
[O-][N+](=O)c1ccc(s1)C=O,BROAD,0.221718703
CN(C)[C@H]1[C@H]2C[C@H]3[C@@H](O)c4c(ccc(c4C(=O)[C@@H]3C(=O)[C@@]2(O)C(=C(C(=O)N)C1=O)O)O)Cl,BROAD,0.440380691
CON=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)COC(=O)C)c1csc(n1)N,BROAD,0.58179006
N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1cn[nH]n1)c1ccc(cc1)O,BROAD,0.618155274
CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(cc(c(c4C(=O)[C@@H]3C(=O)[C@]2(O)C(=C(C(=O)N)C1=O)O)O)NC(=O)CNC(C)(C)C)N(C)C,BROAD,0.240081344
CC1(C)S[C@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,BROAD,0.707200781
CCOc1ccc2ccccc2c1C(=O)N[C@H]1[C@@H]2SC(C)(C)[C@@H](N2C1=O)C(=O)O,BROAD,0.658959171
CN(C)[C@H]1[C@@H]2C[C@H]3[C@H](O)c4c(ccc(c4C(=O)[C@@H]3C(=O)[C@]2(O)C(=C(C(=O)N)C1=O)O)O)Cl,BROAD,0.439283346
N[C@H]1CCN(C1)c1nc2c(cc1F)C(=O)C(=CN2c1ccc(cc1F)F)C(=O)O,BROAD,0.692105234
CN(C)[C@H]1[C@@H]2C[C@@H]3C(=C(O)[C@]2(O)C(=C(C(=O)N)C1=O)O)C(=O)c1c(cccc1[C@@]3(C)O)O,BROAD,0.33079985
C[C@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@@H]([C@@H](O)CC(=O)C[C@@H](O)[C@@H](O)CC[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)O[C@@H](C)[C@@H](C)[C@@H](O)[C@@H](C)C=CC=CCCC=CC=CC=CC=C2)C(=O)O)[C@@H](O)[C@@H](N)[C@@H]1O,BROAD,0.202532844
Cc1onc(c1C(=O)N[C@H]1[C@@H]2SC(C)(C)[C@@H](N2C1=O)C(=O)O)-c1ccccc1Cl,BROAD,0.797909695
CC(=O)OCC1=C(N2[C@H](SC1)[C@@H](NC(=O)Cc1cccs1)C2=O)C(=O)O,BROAD,0.547318193
Cc1nnc(s1)SCC1=C(N2[C@H](SC1)[C@@H](NC(=O)Cn1cnnn1)C2=O)C(=O)O,BROAD,0.797571382
NC(=O)c1cc[n+](cc1)CC1=C(N2[C@H](SC1)[C@@H](NC(=O)[C@@H](c1ccccc1)S(=O)(=O)O)C2=O)C(=O)O,BROAD,0.460102043
CON=C(C(=O)N[C@@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C[N+]1(C)CCCC1)c1csc(n1)N,BROAD,0.609163627
Nc1nc(cs1)C(=NOCC(=O)O)C(=O)N[C@@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C=C,BROAD,0.600074194
CN(C)CCn1nnnc1SCC1=C(N2[C@H](SC1)[C@@H](NC(=O)Cc1csc(n1)N)C2=O)C(=O)O,BROAD,0.658462436
CC(C)(ON=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C[n+]1ccccc1)c1csc(n1)N)C(=O)O,BROAD,0.52939095
CS(=O)(=O)c1ccc(cc1)[C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl,BROAD,0.203346961
CC1(C)S[C@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@@H]1C(=O)O,BROAD,0.648512986
Cc1onc(c1C(=O)N[C@H]1[C@@H]2SC(C)(C)[C@@H](N2C1=O)C(=O)O)-c1c(cccc1Cl)F,BROAD,0.823827988
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2[C@@H](SC1(C)C)[C@H](NC(=O)[C@H](N)c1ccccc1)C2=O,BROAD,0.534024043
CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2[C@@H](SC1(C)C)[C@H](N=CN1CCCCCC1)C2=O,BROAD,0.373122683
CC1(C)S[C@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O[C@H]1OC(=O)c2ccccc21,BROAD,0.515968062
Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(=O)O)-c1ccccc1,BROAD,0.751326293
CO/N=C(\CNC(=O)c1ccccc1Cl)c1ccc(cc1)Cl,BROAD,0.20410512
OC(=O)c1cccc(c1)CN1C(=O)SC(=C1Cl)/C=N/NC(=O)c1ccccc1Cl,BROAD,0.222453588
COc1ccc(c(c1OC)C(=O)O)/C=N/NC(=O)COc1ccc(cc1Cl)Cl,BROAD,0.214632815
[O-][N+](=O)c1ncn(n1)CC(=O)N/N=C/c1cccc(c1)Cl,BROAD,0.206796885
C/C(=N\NC(=O)COc1ccccc1Cl)Cn1cnc(n1)[N+](=O)[O-],BROAD,0.205776032
C/C(=N\NC(=O)COc1c(cc(cc1Cl)Cl)Cl)Cn1cnc(n1)[N+](=O)[O-],BROAD,0.314014259
C/C(=N\NC(=O)c1ccccc1Cl)Cn1nc(cc1C)[N+](=O)[O-],BROAD,0.218876497
COc1ccccc1N1CCN(CC1)C(=O)Cc1c([nH]c2ccc(cc12)Cl)C(=O)O,BROAD,0.297867143
Cc1nonc1C(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],BROAD,0.476376883
Cc1c(c(nn1CC(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1nnnn1C)C(F)F)Cl,BROAD,0.694787195
OC(=O)c1ccc(cc1)NC(=O)C(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],BROAD,0.310739068
CC1(C)S[C@H]2N([C@@H]1C(=O)O)C(=O)c1ccccc12,BROAD,0.294674577
CC[C@@H]1OC(=O)[C@H](C)C(O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)/C(=N/OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,BROAD,0.773941483
CC(=O)O[C@H]1C=CN([C@@H](SC(C)(C)C)[C@@]1(C)O)C(=O)C,BROAD,0.251273664
CC(C)[C@H]1CC2=C([C@@H](O1)c1ccc(cc1)Cl)C(=O)NC(=S)N2,BROAD,0.240401907
OC(=O)c1ccc(cc1)N/N=C/C=C/c1ccc(o1)[N+](=O)[O-],BROAD,0.231991904
C/C(=N\Nc1ccc(c(c1)C(=O)O)Cl)c1ccc(cc1)N1CCOCC1,BROAD,0.256450275
CC1(C)S[C@H]2N([C@@H]1C(=O)NC1CC1)C(=O)c1ccccc12,BROAD,0.21395196
CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O,BROAD,0.460743868
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H]2N(CCCCn3cnc(c3)-c3cccnc3)C(=O)O[C@]12C)OC,BROAD,0.486332769
C[C@H]1[C@H]2C[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c2c(cccc21)O)O)O,BROAD,0.271190929
Cc1nnc(s1)SCC1=C(N2[C@@H](SC1)[C@@H](NC(=O)Cn1cnnn1)C2=O)C(=O)O,BROAD,0.801825023
Cc1onc(c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(=O)O)-c1ccccc1,BROAD,0.751326296
CC(C)(C)[S@@+]([O-])N1Cc2cc(nc(c2[C@H]1CCO[Si](C)(C)C(C)(C)C)-c1ccc(cc1)Br)C(=O)O,BROAD,0.445144438
CC1=CC(=O)C(=CN1)C(=O)N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1nnnn1C)c1ccc(cc1)O,BROAD,0.735228628
CON=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)C=Cc1scnc1C)c1csc(n1)N,BROAD,0.39524027
Nc1nc(cs1)/C(=N\O)C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C=C,BROAD,0.647857843
C[C@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@@H]([C@@H](O)CC(=O)C[C@@H](O)[C@@H](O)CC[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)O[C@@H](C)[C@@H](C)[C@@H](O)[C@@H](C)C=CC=CCCC=CC=CC=CC=C2)C(=O)O)[C@@H](O)[C@@H](N)[C@@H]1O,BROAD,0.202532842
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,BROAD,0.773417165
[O-][N+](=O)c1ccc(o1)C(=O)NCc1nnnn1-c1ccc(cc1)Cl,BROAD,0.369585332
COc1ccc(c(c1)C(=O)O)SSc1ccc(cc1C(=O)O)OC,BROAD,0.515905766
CC(C)n1nnnc1[C@@]1(C)CCSCC(=O)N1Cc1cccc(c1)C(F)(F)F,BROAD,0.23084904
C/C(=N\NC(=O)c1cccc(c1)Cl)Cn1nnc(n1)[N+](=O)[O-],BROAD,0.252166919
C/C(=N\NC(=O)c1ccccc1Cl)Cn1nnc(n1)[N+](=O)[O-],BROAD,0.265053129
CC1=C(N2[C@H](SC1)[C@H](NC(=O)c1nn(c(c1Cl)C)C)C2=O)C(=O)O,BROAD,0.642652895
OC(=O)c1ccc(cc1)/C=N/NC(=O)CSc1nnc(s1)SCc1ccc(cc1)Cl,BROAD,0.210567762
CSc1nsc(c1CO)SC,BROAD,0.208658617
OC(=O)c1cc(ccc1Cl)NC(=O)CSc1nnc(s1)-c1cccnc1,BROAD,0.301807754
CC([C@H]1SC(=S)NC1=O)[C@H]1SC(=S)NC1=O,BROAD,0.301540853
COCC1=C(N2[C@H](SC1)[C@H](NC(=O)/C(=N\OC)c1csc(n1)N)C2=O)C(=O)O[C@@H](C)OC(=O)OC(C)C,BROAD,0.458115013
CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSC1=NC(=O)C(=NN1C)O)c1csc(n1)N,BROAD,0.604787739
C[C@H](NC(=O)[C@H]1N2[C@@H](SC1(C)C)c1ccccc1C2=O)C(=O)N1CCC[C@H]1C(=O)O,BROAD,0.431356092
C[C@@](CCCCC(=O)O)(NCCc1ccc(cc1)O)c1nnnn1C1CCCCC1,BROAD,0.203457958
Fc1cc(cc(c1)C(=O)N1C[C@H]2ON=C([C@@H]2C1)c1c(cccc1Cl)F)F,BROAD,0.241708887
FC(F)(F)[C@@]1(NC(=O)NC[C@H]2CCCO2)Oc2ccc(cc2O1)Cl,BROAD,0.292394356
Cc1onc(c1C(=O)N[C@H]1[C@@H]2SC(C)(C)[C@@H](N2C1=O)C(=O)O)-c1ccccc1,BROAD,0.7463753
CON=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSC1=NC(=O)C(=NN1C)O)c1csc(n1)N,BROAD,0.609540936
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=C(C(=O)N)C1=O)O)C(=O)c1c(cccc1[C@]3(C)O)O,BROAD,0.323243683
C[C@H]1SC2=C(C(=O)O)C(=O)c3cc(c(cc3N12)N1CCN(CC1)CC1=C(C)OC(=O)O1)F,BROAD,0.797048184
Cc1nnc(s1)SCC1=C(N2[C@H](SC1)[C@H](N)C2=O)C(=O)O,BROAD,0.500043353
CN1C[C@H]2C[C@@H]1CN2c1cc2c(cc1F)C(=O)C(=CN2C1CC1)C(=O)O,BROAD,0.662349012
FC(F)(F)c1ccc(cc1)NC(=O)N1C[C@H]2O[C@H](CC[C@H]21)CNC(=O)Cc1cccnc1,BROAD,0.200303956
FC(F)(F)c1ccc(cc1)NC(=O)N1C[C@@H]2O[C@@H](CC[C@@H]21)CNC(=O)Cc1cccnc1,BROAD,0.210469859
C[C@H]1CCc2c(c(cc3c2N1C=C(C(=O)O)C3=O)F)F,BROAD,0.431940193
Cc1ccc(c(c1F)C(=O)N1C[C@H]2ON=C([C@@H]2C1)c1c(cccc1Cl)F)F,BROAD,0.234032443
CN1C[C@@H]2C[C@H]1CN2c1cc2c(cc1F)C(=O)C(=CN2C1CC1)C(=O)O,BROAD,0.658324864
CSc1ccc(cc1)-c1nnc(o1)NC(=O)c1ccc(s1)Cl,BROAD,0.224390678
C[C@@H](O)[C@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@H]1CN[C@@H](C1)C(=O)N(C)C,BROAD,0.539205658
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,BROAD,0.777164922
CN[C@H]1CCCN(C1)c1c(cc2c(c1OC)N(C=C(C(=O)O)C2=O)C1CC1)F,BROAD,0.640693934
CN[C@@H](C)[C@@H]1CC[C@@H](N)[C@H](O1)O[C@H]1[C@@H](N)C[C@@H](N)[C@H](O[C@H]2OC[C@](C)(O)[C@@H](NC)[C@H]2O)[C@@H]1O,BROAD,0.307835685
CO/N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSC(=O)c1ccco1)c1csc(n1)N,BROAD,0.641276048
Clc1ccc(s1)C(=O)NC[C@H]1CN(C(=O)O1)c1ccc(cc1)N1CCOCC1=O,BROAD,0.206969083
CC(C)(Oc1ccc(cc1)Cl)C(=O)N1C[C@H]2ON=C([C@@H]2C1)c1c(cccc1Cl)F,BROAD,0.239957024
CC1(C)S[C@H]2[C@H](NC(=O)[C@@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@@H]1C(=O)O,BROAD,0.699695152
CCN1C=C(C(=O)O)C(=O)c2cc(c(cc21)N1CCN(CC1)C(=O)C)F,BROAD,0.64268322
OC(=O)c1ccc2nnc(n2c1)[C@H]1CCN(C1)c1ncc(cn1)F,BROAD,0.343169645
Nc1nnc(o1)-c1ccc(o1)[N+](=O)[O-],BROAD,0.462795892
CC(=O)NC[C@H]1CN(C(=O)O1)c1ccc(c(c1)F)N1CCSCC1,BROAD,0.25742871
Nc1nonc1C(=O)N/N=C/c1ccc(o1)-c1ccc(c(c1)C(=O)O)Cl,BROAD,0.200385097
OC(=O)c1cc2n(n1)[C@H](C[C@H](N2)c1ccc2c(c1)OCO2)C(F)(F)F,BROAD,0.305097232
C[C@@H]1CN(C[C@H](C)O1)CC1=C(N=C2N(CC(=O)N(C)C)C=CC=C12)C(F)(F)F,BROAD,0.261880319
CC[C@@H]1C[C@@H](n2nc(cc2N1)[C@H]1CCN(C1)C(=O)c1cc(on1)C(C)C)C(F)(F)F,BROAD,0.206027579
CSc1nnc(n1C)[C@H]1CCCN1C(=O)C1(CCCCC1)c1ccc(cc1)Cl,BROAD,0.214919779
CC(C)[C@@H]1C[C@@H](n2nc(cc2N1)C(=O)N1CCC[C@@H](CN(C)C)C1)C(F)(F)F,BROAD,0.239224543
CSc1nnc(s1)SCC1=CC(=O)Oc2cc(ccc21)O,BROAD,0.22241745
CSC1=NN(CSc2c(cccc2Cl)Cl)C(=S)S1,BROAD,0.304249386
CC(=O)OC[C@@H](OC(=O)C)[C@@H](OC(=O)C)[C@H]1OC(=O)[C@H]2N([C@@H]1SC2(C)C)C(=O)C,BROAD,0.324912269
CSC1=NN(CSc2nnc([nH]2)-c2ccccc2F)C(=S)S1,BROAD,0.240488006
Clc1ccc(cc1)C1=CC(=S)SS1,BROAD,0.224519157
C/C=C/C1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c1ccc(cc1)O)C2=O)C(=O)O,BROAD,0.629236752
CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O,BROAD,0.545423914
C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)SC1Cn2cnc[n+]2C1,BROAD,0.433887658
CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CN1C=CC(=N)N1CCO)c1csc(n1)N,BROAD,0.500977254
Cc1ccc(nc1-c1cccc(c1)C(=O)O)NC(=O)C1(CC1)c1ccc2c(c1)OC(F)(F)O2,BROAD,0.24849459
CC1(C)S[C@H]2[C@@H](NC(=O)[C@@H](NC(=O)N3CCN(C3=O)S(=O)(=O)C)c3ccccc3)C(=O)N2[C@@H]1C(=O)O,BROAD,0.633625336
CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSC(=O)c1ccco1)c1csc(n1)N,BROAD,0.635934994
CC1(C)S[C@H]2[C@@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@@H]1C(=O)O,BROAD,0.698770387
CN[C@@H]1[C@@H](O)[C@H](OC[C@]1(C)O)O[C@H]1[C@H](N)C[C@H](N)[C@@H](O[C@H]2OC(=CC[C@H]2N)CN)[C@@H]1O,BROAD,0.285432638
Cn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](OC=O)c1ccccc1)C2=O)C(=O)O,BROAD,0.691218607
C[C@]1(Cn2ccnn2)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(=O)O,BROAD,0.530431134
C[C@H]1COc2c(c(cc3c2N1C=C(C(=O)O)C3=O)F)N1CCN(C)CC1,BROAD,0.741705334
CO/N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)C[N+]1(C)CCCC1)c1csc(n1)N,BROAD,0.611976054
CO[C@]1(NC(=O)C2SC(=C(C(=O)N)C(=O)O)S2)[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc1nnnn1C,BROAD,0.772391215
CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CSC1=NC(=O)C(=NN1C)O)c1csc(n1)N,BROAD,0.604787736
CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O[C@@H](C)OC(=O)C)COC(=O)N)c1ccco1,BROAD,0.419167762
COc1c(c(cc2c1N(C=C(C(=O)O)C2=O)C1CC1)F)N1CCN[C@@H](C)C1,BROAD,0.677964839
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@@H](C)[C@@H]2N(CCCCn3cnc(c3)-c3cccnc3)C(=O)O[C@]12C)OC,BROAD,0.496074544
CO/N=C(\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C)/C=C\c1scnc1C)c1csc(n1)N,BROAD,0.296494422
CC(=O)OCC1=C2N3[C@@H](SC1)[C@H](NC(=O)CCC[C@@H](N)C(=O)O[Zn]OC2=O)C3=O,BROAD,0.510778001
C[C@H]1COc2c3c(cc(c2C2(N)CC2)F)C(=O)C(=CN13)C(=O)O,BROAD,0.57514668
N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)Cl)c1ccccc1,BROAD,0.396755819
CS(=O)(=O)c1cc(cc2c3c(n(c12)Cc1ccc(cc1)Cl)[C@H](CC3)CC(=O)O)F,BROAD,0.213602167
