Rationale
O=C(N[CH3:1])c1nnn(-c2ccc(F)c(Cl)c2)[cH:1]1
N/A
O=C(N[CH3:1])c1nnn(-c2ccc(F)c(Cl)c2)[cH:1]1
N/A
O=C(O)c1sc2c(c1-c1ccc(Cl)cc1)N[CH2:1]C[CH2:1]2
Clc1ccc(N[CH2:1]c2c(-c3[cH:1]ccc[cH:1]3)no[cH:1]2)c[cH:1]1
Cc1c(NC(=O)NC(C)(C[OH:1])C(F)(F)F)cnn1[CH3:1]
O[CH2:1]c1cc(-n2nnnc2S[CH3:1])ccc1Cl
N/A
N/A
N/A
O=C(c1cn(-c2cccc(Cl)c2F)nn1)N1CC[CH2:1]C1
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
O=C(O)c1ccc(F)c(N[CH2:1]C2CS[CH:1]3CC[CH2:1]N23)c1
N/A
N/A
N/A
N/A
N/A
N/A
Clc1ccc2c(c1)[C@H]1O[C@H]3CC[NH:1]C[C@H]3C[C@@H]1[CH2:1]O2
Fc1ccc(-c2onc(N3CC[NH:1][CH2:1]C3)c2[CH3:1])cc1[OH:1]
N/A
Fc1ccc(-c2onc(N3CC[NH:1]CC3)c2[CH3:1])cc1[OH:1]
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
Fc1ccc(F)c(N2CCN(Cc3cco[cH:1]3)CC2)c1
N/A
N/A
O=C([O-])c1nc([CH3:1])cc2c1n[cH:1]n2C1CC[S:1](=O)C1.[Na+]
Clc1cc(Cl)c2c(c1)C=C(CN1C[CH:1]=[N:1]CC1[CH3:1])CO2
N/A
N/A
N/A
N/A
Fc1ccc(-n2nnc([CH2:1]N3CCSC[CH2:1]3)[cH:1]2)cc1Cl
N/A
N/A
N/A
CSC(SC)=C(SC)[NH2:1]
N/A
N/A
N/A
N/A
N/A
Clc1ccc(OCc2nnc(S[CH3:1])[nH]2)cc1
O=C(O)c1sc2cccc(F)c2c1CSc1nn[cH:1]o1
C1=C2S[CH:1]=[N:1]N2C([CH3:1])S1
C1=C2S[CH:1]=[N:1]N2C([CH3:1])S1
N/A
Fc1c(Cl)cccc1-n1cc([CH2:1]N2CCO[CH2:1]C2)nn1
N/A
N/A
N/A
N/A
N/A
N/A
N/A
N/A
Fc1cc(F)cc(OC2CCN(c3nccc[cH:1]3)C2)c1
N/A
Fc1ccc(N2CCN(c3ccnc[cH:1]3)CC2)c(F)c1
N/A
Fc1cc(F)cc(OC2CCN(c3ccnc[cH:1]3)C2)c1
N/A
N/A
N/A
N/A
N/A
Fc1ccc(Br)cc1-c1nnc(N2CCCC2[CH3:1])s1
O=C(O)c1sc2cccc(F)c2c1CSc1nnn[nH:1]1
O=C(O)c1sc2cccc(F)c2c1CSc1nn[cH:1]s1
O=C(O)c1sc2cccc(F)c2c1CSc1nn[cH:1][nH:1]1
N/A
CSc1s[cH:1][cH:1]c1SC
O=C(O)c1c2n([cH:1]cc1=O)-c1ccc(Cl)cc1S[CH2:1]C2
O=C(O)c1c2n([cH:1]cc1=O)-c1ccc(Cl)cc1S[CH2:1]C2
N/A
CSc1s[cH:1]c(Br)c1Br
N/A
N/A
N/A
N/A
N/A
Clc1ccc([NH2:1])cc1Cl
N/A
N/A
Fc1ccc(-c2coc(C3CCNCC3)[cH:1]2)c(F)c1
N/A
N/A
N/A
N/A
CSc1c(F)cc(N[CH:1]=O)c[cH:1]1
N/A
O=C(O)c1ccc(N[CH2:1]C2CS[CH:1]3CC[CH2:1]N23)cc1Cl
N/A
